show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,imdb_rating
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",2019,TV-PG,90 min,"Children & Family Movies, Comedies",3.1
80125979,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017,TV-14,99 min,Comedies,5.2
70304989,Movie,Automata,Gabe Ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada",2014,R,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers",6.1
80164077,Movie,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Fabrizio Copano,Chile,2017,TV-MA,60 min,Stand-Up Comedy,4.9
70304990,Movie,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",2014,R,90 min,"Action & Adventure, Thrillers",5.5
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",2015,R,95 min,"Action & Adventure, Dramas, International Movies",6.1
80057969,Movie,Love,Gaspar Noé,"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium",2015,NR,135 min,"Cult Movies, Dramas, Independent Movies",6.1
80060297,Movie,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",5.6
80046728,Movie,Moonwalkers,Antoine Bardou-Jacquet,"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium",2015,R,96 min,"Action & Adventure, Comedies, International Movies",6.1
70304988,Movie,Stonehearst Asylum,Brad Anderson,"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",United States,2014,PG-13,113 min,"Horror Movies, Thrillers",6.8
80057700,Movie,The Runner,Austin Stark,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,2015,R,90 min,"Dramas, Independent Movies",4.7
80045922,Movie,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,2015,NR,80 min,"Dramas, Independent Movies, Romantic Movies",5.6
70241607,Movie,Laddaland,Sopon Sukdapisit,"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,2011,TV-MA,112 min,"Horror Movies, International Movies",6.3
80988892,Movie,Next Gen,"Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States",2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",6.6
80239639,Movie,Sierra Burgess Is A Loser,Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,2018,PG-13,106 min,"Comedies, Romantic Movies",5.8
80159586,Movie,The Most Assassinated Woman in the World,Franck Ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States",2018,TV-MA,102 min,"Dramas, International Movies, Thrillers",5.3
80152447,Movie,Cézanne et moi,Daniele Thompson,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France",2016,R,114 min,"Dramas, Independent Movies, International Movies",6.0
81154455,Movie,Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",8.2
81052275,Movie,Ee Nagaraniki Emaindi,Tharun Bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,2018,TV-14,133 min,"Comedies, International Movies",7.9
80058026,Movie,Hell and Back,"Tom Gianas, Ross R. Shuman","Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,2015,R,86 min,"Action & Adventure, Comedies, Independent Movies",5.4
70303496,Movie,PK,Rajkumar Hirani,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,2014,TV-14,146 min,"Comedies, Dramas, International Movies",8.1
80162141,Movie,Hard Tide,"Robert Osman, Nathanael Wiseman","Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,2015,TV-MA,79 min,"Dramas, Independent Movies",4.7
80095641,Movie,Elstree 1976,Jon Spira,"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,2015,TV-PG,102 min,Documentaries,5.9
80159880,Movie,ATM,Mez Tharatorn,"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",2012,TV-14,122 min,"Comedies, International Movies, Romantic Movies",4.7
81016044,Movie,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano",Thailand,2009,TV-14,126 min,"Comedies, International Movies, Romantic Movies",7.2
80158838,Movie,I Fine... Thank You... Love You,Mez Tharatorn,"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij",Thailand,2014,TV-14,116 min,"Comedies, International Movies, Romantic Movies",7.0
81016045,Movie,One Day,Banjong Pisanthanakun,"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,2016,TV-PG,135 min,"Dramas, International Movies, Romantic Movies",7.0
70142798,Movie,Phobia 2,"Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks","Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,2009,TV-MA,125 min,"Horror Movies, International Movies",6.7
70062814,Movie,Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom","Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",Thailand,2004,TV-MA,96 min,"Horror Movies, International Movies",7.1
80158839,Movie,Suckseed,Chayanop Boonprakob,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,2011,TV-MA,130 min,"Comedies, International Movies",7.5
80147760,Movie,Carrie Pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,2016,TV-14,98 min,"Comedies, Dramas",6.6
80177405,Movie,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,2017,TV-MA,70 min,Stand-Up Comedy,7.2
81160036,Movie,Saawan,Farhan Alam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,2016,TV-14,128 min,"Dramas, Independent Movies, International Movies",7.0
81173255,Movie,The Heretics,Chad Archibald,"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond",Canada,2017,TV-MA,88 min,Horror Movies,4.7
81078908,Movie,The World We Make,Brian Baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,2019,PG,108 min,"Dramas, Romantic Movies",5.1
81155784,Movie,Watchman,A. L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,2019,TV-14,93 min,"Comedies, Dramas, International Movies",5.1
80201906,Movie,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,2018,PG-13,135 min,"Action & Adventure, Sci-Fi & Fantasy",7.3
80052612,Movie,Man Up,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France",2015,R,88 min,"Comedies, International Movies, Romantic Movies",6.8
81054495,Movie,Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,2019,TV-MA,64 min,Stand-Up Comedy,6.2
70212504,Movie,Big Miracle,Ken Kwapis,"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston","United States, United Kingdom",2012,PG,107 min,"Children & Family Movies, Dramas",6.5
80187061,Movie,The Mayor,Park In-je,"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park",South Korea,2017,TV-MA,130 min,"Dramas, International Movies",5.5
80198585,Movie,The Debt Collector,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States",2018,TV-MA,96 min,Action & Adventure,5.7
70233894,Movie,Act of Vengeance,Mahsun Kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States",2010,NR,112 min,"Action & Adventure, International Movies",5.5
81011955,Movie,Paradise Lost,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies",7.2
80128722,Movie,Gerald's Game,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",United States,2017,TV-MA,103 min,"Horror Movies, Thrillers",6.6
80104068,Movie,Our Souls at Night,Ritesh Batra,"Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville",United States,2017,TV-14,103 min,"Dramas, Romantic Movies",6.9
80019931,Movie,"Monster High: Boo York, Boo York",William Lau,"Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey",United States,2015,TV-Y7,72 min,"Children & Family Movies, Music & Musicals",6.6
80200087,Movie,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Søren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Italy, Belgium, Netherlands",2019,R,89 min,"International Movies, Thrillers",4.4
81002850,Movie,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,2012,TV-14,126 min,"Dramas, International Movies",7.9
81004470,Movie,Animal World,Han Yan,"Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke",China,2018,TV-MA,130 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",6.7
80157072,Movie,Hold the Dark,Jeremy Saulnier,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie",United States,2018,TV-MA,126 min,"Action & Adventure, Dramas",5.6
81002864,Movie,Single,Raditya Dika,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes",Indonesia,2015,TV-PG,127 min,"Comedies, International Movies, Romantic Movies",7.2
81016750,Movie,The 3rd Eye,Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman",Indonesia,2018,TV-MA,108 min,"Horror Movies, International Movies",5.1
81002866,Movie,The Sinking Of Van Der Wijck,Sunil Soraya,"Herjunot Ali, Pevita Pearce, Reza Rahadian, Randy Nidji, Gesya Shandy, Kevin Andrean, Arzetti Bilbina",Indonesia,2013,TV-14,163 min,"Dramas, International Movies, Romantic Movies",7.6
81132443,Movie,Deliha 2,Gupse Özay,"Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner",Turkey,2018,TV-PG,102 min,"Comedies, International Movies",4.5
80231903,Movie,In the Shadow of the Moon,Jim Mickle,"Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller",United States,2019,TV-MA,116 min,"Dramas, Sci-Fi & Fantasy, Thrillers",6.2
81012295,Movie,Weeds on Fire,Chi Fat Chan,"Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb",Hong Kong,2016,TV-14,95 min,"Dramas, Independent Movies, International Movies",6.7
80060037,Movie,Much Loved,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Camélia Montassere","France, Morocco",2015,TV-MA,104 min,"Dramas, Independent Movies, International Movies",6.2
60003155,Movie,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett",United States,2000,TV-PG,75 min,"Children & Family Movies, Dramas, Faith & Spirituality",6.5
81177238,Movie,Malaal,Mangesh Hadawale,"Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle",India,2019,TV-14,133 min,"International Movies, Romantic Movies",5.9
70270775,Movie,The Grandmaster,Wong Kar Wai,"Tony Leung Chiu-wai, Zhang Ziyi, Chang Chen, Xiao Shen-Yang, Zhao Benshan, Song Hye-kyo, Wang Qingxiang, Zhang Jin, Lo Hoi-pang, Cung Le, Julian Cheung","Hong Kong, China",2013,PG-13,108 min,"Action & Adventure, Dramas, International Movies",6.6
80215923,Movie,The Hurricane Heist,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler",United States,2018,PG-13,103 min,Action & Adventure,5.1
80151483,Movie,Def Comedy Jam 25,Louis J. Horvitz,"Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole",United States,2017,TV-MA,82 min,Stand-Up Comedy,6.6
80173625,Movie,Restless Creature: Wendy Whelan,"Linda Saffire, Adam Schlesinger","Peter Martins, Sean Suozzi, Gretchen Smith, Ashley Laracey, Tiler Peck, Damian Woetzel, Albert Evans, Sterling Hyltin, Craig Hall, Peter Boal, Karen Young, Michelle Rodriguez, Jock Soto, Adam Barrett",United States,2016,TV-MA,94 min,Documentaries,7.1
81075519,Movie,Furie,Le Van Kiet,"Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa",Vietnam,2019,TV-MA,97 min,"Action & Adventure, Dramas, International Movies",7.6
80166318,Movie,Leap!,"Eric Summer, Éric Warin","Bronwen Mantel, Mel Brooks, Maddie Ziegler, Dane DeHaan, Julie Khaner, Elle Fanning, Terrence Scammell, Tamir Kapelian, Carly Rae Jepsen","France, Canada",2016,PG,89 min,"Children & Family Movies, Comedies",6.8
80108976,Movie,USS Indianapolis: Men of Courage,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Johnny Wactor, Adam Scott Miller, Cody Walker, Callard Harris",United States,2016,R,130 min,Action & Adventure,5.2
80208155,Movie,A Wrinkle in Time,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson",United States,2018,PG,110 min,Children & Family Movies,4.2
80162144,Movie,White Island,Benjamin Turner,"Lyndon Ogbourne, Billy Zane, Billy Boyd, Joel Dommett, Elliot Gleave, Gala Gordon, Darren Day, Owain Arthur, Craig Gazey, Ben Cura",United Kingdom,2016,TV-MA,91 min,"Comedies, Independent Movies, Thrillers",4.2
81053953,Movie,Inside Man: Most Wanted,Michael J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok",United States,2019,R,106 min,Action & Adventure,5.6
81074113,Movie,Jeff Dunham: Beside Himself,Troy Miller,Jeff Dunham,United States,2019,TV-MA,58 min,Stand-Up Comedy,6.8
80992496,Movie,China Salesman,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,2017,TV-MA,111 min,"Action & Adventure, International Movies",3.0
70304191,Movie,Swearnet: The Movie,Warren P. Sonoda,"Mike Smith, John Paul Tremblay, Robb Wells, Patrick Roach, Mishael Morgan, Sarah Jurgens, Shannon Leroux, Dana Woods, Howard Jerome, Tom Green",Canada,2014,NR,112 min,"Comedies, International Movies",5.9
80103311,Movie,The Bar,Álex de la Iglesia,"Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordoñez, Terele Pávez, Joaquín Climent, Alejandro Awada","Spain, Argentina",2017,TV-MA,102 min,"Comedies, Horror Movies, International Movies",6.3
81176200,Movie,Manmadhudu 2,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti",India,2019,TV-MA,152 min,"Comedies, Dramas, International Movies",4.9
80208906,Movie,Under the Eiffel Tower,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole",United States,2018,TV-MA,87 min,"Comedies, Independent Movies, Romantic Movies",5.1
80106966,Movie,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,Iliza Shlesinger,United States,2016,TV-MA,78 min,Stand-Up Comedy,6.6
81080769,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Deepti Naval,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman",India,2009,TV-14,121 min,"Dramas, Independent Movies, International Movies",6.2
70267838,Movie,20 Feet From Stardom,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer, Táta Vega, Claudia Lennear, Judith Hill, Bruce Springsteen, Mick Jagger, Stevie Wonder, Sting, Bette Midler, Cissy Houston, Sheryl Crow, Tata Vega",United States,2013,PG-13,91 min,"Documentaries, Music & Musicals",7.4
80211380,Movie,In Darkness,Anthony Byrne,"Natalie Dormer, Ed Skrein, Emily Ratajkowski, Neil Maskell, Jan Bijvoet, James Cosmo, Joely Richardson","United Kingdom, United States",2018,TV-MA,101 min,"Independent Movies, International Movies, Thrillers",5.8
80196586,Movie,Gaga: Five Foot Two,Chris Moukarbel,Lady Gaga,United States,2017,TV-MA,101 min,"Documentaries, Music & Musicals",7.0
80099204,Movie,The Bad Batch,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross",United States,2016,R,119 min,"Dramas, Independent Movies, Thrillers",5.3
80059432,Movie,SMOSH: The Movie,Alex Winter,"Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Jillian Nelson, Brittany Ross, Michael Ian Black, Steve Austin",United States,2015,PG-13,83 min,Comedies,3.3
81172721,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2018,TV-MA,182 min,"Dramas, International Movies",5.7
81172727,Movie,Merry Men: The Real Yoruba Demons,Toka McBaror,"Ramsey Nouah, Jim Iyke, Ayo Makun, Falz, Richard Mofe-Damijo, Iretiola Doyle, Damilola Adegbite, Rosaline Meurer, Jide Kosoko, Ali Nuhu, Segun Arinze, Francis Duru",Nigeria,2018,TV-MA,106 min,"Comedies, International Movies",5.9
70153543,Movie,Sarah's Key,Gilles Paquet-Brenner,"Aidan Quinn, Kristin Scott Thomas, Frédéric Pierrot, Michel Duchaussoy, Dominique Frot, Niels Arestrup, Mélusine Mayance, Gisèle Casadesus, Natasha Mashkevich",France,2010,PG-13,102 min,"Dramas, International Movies",7.5
81172728,Movie,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,"Enyinna Nwigwe, Daniella Down, Banky Wellington, Adesua Etomi, Somkele Iyamah, Iretiola Doyle, Sola Sobowale, Michael De Pinna, Lynita Crofford, Patience Ozokwor",Nigeria,2017,TV-14,98 min,"Comedies, International Movies, Romantic Movies",4.4
80102952,Movie,Quincy,"Rashida Jones, Alan Hicks",Quincy Jones,United States,2018,TV-MA,124 min,"Documentaries, Music & Musicals",7.2
80243600,Movie,Between Two Ferns: The Movie,Scott Aukerman,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell",United States,2019,TV-MA,83 min,Comedies,6.1
81122669,Movie,Daddy Issues,Amara Cash,"Madison Lawlor, Montana Manning, Andrew Pifko, Monte Markham, Kamala Jones, Jodi Carol Harrison, Seth Cassell, Ronnie Clark, Lissa Danshaw, J.J. Hawkins",United States,2019,TV-MA,82 min,"Dramas, Independent Movies, LGBTQ Movies",4.1
81000389,TV Show,The Hockey Girls,"Kiko Cruz Claverol, Patricia Font","Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet",Spain,2019,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",7.0
81132439,Movie,Travel Mates 2,Bedran Güzel,"Oğuzhan Koç, İbrahim Büyükak, Ezgi Eyüboğlu, Olgun Toker, Kadir Polatçi, Aycan Koptur, Bahar Şahin, Kıvanç Baran Arslan",Turkey,2018,TV-14,111 min,"Comedies, International Movies",5.9
80150502,Movie,Mad World,Chun Wong,"Shawn Yue, Eric Tsang, Elaine Jin, Charmaine Fong",Hong Kong,2016,TV-MA,102 min,"Dramas, International Movies",7.3
80119815,Movie,The First Line,"Coerte Voorhees, John Voorhees","Pantelis Kodogiannis, Kassandra Voyagis, Paul Freeman, Michael Byrne, Georges Corraface, Yorgo Voyagis, Giancarlo Giannini, Kelly Eleftheriou","United States, Greece, United Kingdom",2014,TV-14,87 min,"Dramas, Independent Movies",5.1
80203776,Movie,Bitcoin Heist,Ham Tran,"Kate Nhung, Thanh Pham, Petey Majik Nguyen, Suboi, Jayvee Mai The Hiep, Lam Thanh My",Vietnam,2016,TV-14,116 min,"Action & Adventure, Comedies, International Movies",5.8
80143797,Movie,I Am Not Madame Bovary,Feng Xiaogang,"Fan Bingbing, Guo Tao, Da Peng, Zhang Jiayi, Yu Hewei, Yi Zhao, Zonghan Li, Zhao Lixin, Tian Xiaojie, Yin Yuanzhang, Enhe Feng, Xin Liu, Jiang Yongbo",China,2016,TV-14,139 min,"Comedies, Dramas, International Movies",6.9
80161931,Movie,Vincent N Roxxy,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Beau Knapp, Jason Mitchell, Scott Mescudi, Jeff Gum, Joey Bicicchi",United States,2016,R,101 min,"Dramas, Thrillers",5.5
80017275,Movie,Miss Julie,Liv Ullmann,"Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy","Norway, United Kingdom, France, Ireland",2014,PG-13,130 min,"Dramas, International Movies",5.4
81107545,Movie,Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora",India,2019,TV-MA,171 min,"Dramas, International Movies, Romantic Movies",7.1
